movieId,title,averageRating,imdbId,tmdbId,imageUrl,videoUrl,description,quoteSource,nearestMovieIds,createdAt,updatedAt
1,Toy Story (1995),3.9209302325581397,114709,862.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
2,Jumanji (1995),3.4318181818181817,113497,8844.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
3,Grumpier Old Men (1995),3.2596153846153846,113228,15602.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
4,Waiting to Exhale (1995),2.357142857142857,114885,31357.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
5,Father of the Bride Part II (1995),3.0714285714285716,113041,11862.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
6,Heat (1995),3.946078431372549,113277,949.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
7,Sabrina (1995),3.185185185185185,114319,11860.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
8,Tom and Huck (1995),2.875,112302,45325.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
9,Sudden Death (1995),3.125,114576,9091.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
10,GoldenEye (1995),3.496212121212121,113189,710.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
11,"American President, The (1995)",3.6714285714285713,112346,9087.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
12,Dracula: Dead and Loving It (1995),2.4210526315789473,112896,12110.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
13,Balto (1995),3.125,112453,21032.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
14,Nixon (1995),3.8333333333333335,113987,10858.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
15,Cutthroat Island (1995),3.0,112760,1408.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
16,Casino (1995),3.926829268292683,112641,524.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
17,Sense and Sensibility (1995),3.7761194029850746,114388,4584.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
18,Four Rooms (1995),3.7,113101,5.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
19,Ace Ventura: When Nature Calls (1995),2.727272727272727,112281,9273.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
20,Money Train (1995),2.5,113845,11517.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
21,Get Shorty (1995),3.49438202247191,113161,8012.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
22,Copycat (1995),3.2222222222222223,112722,1710.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
23,Assassins (1995),3.125,112401,9691.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
24,Powder (1995),3.125,114168,12665.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
25,Leaving Las Vegas (1995),3.625,113627,451.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
26,Othello (1995),3.5,114057,16420.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
27,Now and Then (1995),3.3333333333333335,114011,9263.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
28,Persuasion (1995),4.2272727272727275,114117,17015.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",4.0131578947368425,112682,902.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.0,115012,37557.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
31,Dangerous Minds (1995),3.1842105263157894,112792,9909.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),3.983050847457627,114746,63.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
34,Babe (1995),3.65234375,112431,9598.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
36,Dead Man Walking (1995),3.8358208955223883,112818,687.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
38,It Takes Two (1995),2.125,113442,33689.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
39,Clueless (1995),3.293269230769231,112697,9603.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
40,"Cry, the Beloved Country (1995)",4.25,112749,34615.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
41,Richard III (1995),3.7,114279,31174.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
42,Dead Presidents (1995),3.0,112819,11443.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
43,Restoration (1995),3.1875,114272,35196.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
44,Mortal Kombat (1995),2.5434782608695654,113855,9312.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
45,To Die For (1995),3.3125,114681,577.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
46,How to Make an American Quilt (1995),3.066666666666667,113347,11861.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
47,Seven (a.k.a. Se7en) (1995),3.9753694581280787,114369,807.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
48,Pocahontas (1995),3.1470588235294117,114148,10530.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
49,When Night Is Falling (1995),3.0,114916,8391.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
50,"Usual Suspects, The (1995)",4.237745098039215,114814,629.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
52,Mighty Aphrodite (1995),3.4642857142857144,113819,11448.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
53,Lamerica (1994),5.0,110299,49133.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
54,"Big Green, The (1995)",2.3333333333333335,112499,26441.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
55,Georgia (1995),4.0,113158,97406.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
57,Home for the Holidays (1995),3.0625,113321,9089.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
58,"Postman, The (Postino, Il) (1994)",4.027027027027027,110877,11010.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
60,"Indian in the Cupboard, The (1995)",3.235294117647059,113419,11359.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
61,Eye for an Eye (1996),3.75,116260,17182.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
62,Mr. Holland's Opus (1995),3.70625,113862,2054.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),2.7142857142857144,116126,10607.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
64,Two if by Sea (1996),2.2,118002,19760.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
65,Bio-Dome (1996),2.532258064516129,115683,9536.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
66,Lawnmower Man 2: Beyond Cyberspace (1996),2.5,116839,11525.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
68,French Twist (Gazon maudit) (1995),3.4,113149,4482.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
69,Friday (1995),3.775,113118,10634.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
70,From Dusk Till Dawn (1996),3.5090909090909093,116367,755.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
71,Fair Game (1995),1.7,113010,11859.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
72,Kicking and Screaming (1995),3.2142857142857144,113537,28387.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
73,"Misérables, Les (1995)",3.4615384615384617,113828,48750.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
74,Bed of Roses (1996),4.0,115644,20927.0,,,,,[],2022-04-27T00:16:35.598034,2022-04-27T00:16:35.598034
